rank,algorithm,dataset,accuracy,precision,recall,specificity,f1,balanced_accuracy,roc_auc,tn,fp,fn,tp
1,SVM,baseline,0.9482758620689655,0.9555555555555556,0.9772727272727273,0.8571428571428571,0.9662921348314607,0.9172077922077921,0.9642857142857142,12,2,1,43
2,SVM,smote,0.9482758620689655,0.9555555555555556,0.9772727272727273,0.8571428571428571,0.9662921348314607,0.9172077922077921,0.9707792207792207,12,2,1,43
3,DecisionTree,feature_selected,0.9482758620689655,0.9555555555555556,0.9772727272727273,0.8571428571428571,0.9662921348314607,0.9172077922077921,0.9172077922077922,12,2,1,43
4,XGBoost,baseline,0.9310344827586207,0.9166666666666666,1.0,0.7142857142857143,0.9565217391304348,0.8571428571428572,0.9577922077922079,10,4,0,44
5,XGBoost,feature_selected,0.9310344827586207,0.9166666666666666,1.0,0.7142857142857143,0.9565217391304348,0.8571428571428572,0.9772727272727273,10,4,0,44
