,MDVP:Fo(Hz),MDVP:Fhi(Hz),MDVP:Flo(Hz),MDVP:Jitter(%),MDVP:Jitter(Abs),MDVP:RAP,MDVP:PPQ,Jitter:DDP,MDVP:Shimmer,MDVP:Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,MDVP:APQ,Shimmer:DDA,NHR,HNR,RPDE,DFA,spread1,spread2,D2,PPE,jitter_stability_ratio,shimmer_composite,voice_quality_index,frequency_range,frequency_cv
0,0.008606694830671682,0.018401545988171664,0.0,0.0,0.0,0.041253005678932544,0.0,0.04295624066223933,0.0,0.0,0.0,0.007337534058314665,0.0,0.0,0.0,0.0,0.0,0.03481149562107981,0.03680705010500319,0.02241188400806497,0.0,0.029043197288452473,0.0,0.0,0.010507419115033598,0.0,0.0
1,0.0,0.010844684432815225,0.0,0.0,0.0,0.020167457164975162,0.0,0.015063627921489287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01677553469746683,0.0,0.0,0.02771707390897206,0.052385480430130554,0.05581339690490948,0.02044295554430589,0.01028743956229583,0.0,0.019459040230164017,0.0,0.0
2,0.0,0.0,0.0,-0.023193356215522792,0.0,0.018277965535459784,0.0,0.019068612965592955,0.0,0.0,0.0,0.0,0.0,0.0,0.014022407424943727,0.0,0.0,0.004975836342328701,0.006293531329203639,0.0414237416032382,0.07147130567020793,0.0,0.021698622283017506,0.0,0.0,0.012799228448594093,0.0
3,0.004904670986932306,0.013522404974674355,0.0,0.0,0.0,0.049930943821566307,0.0,0.04479112853809285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008452819224561349,0.0,0.04667992568028667,0.04026546697257226,0.0,0.0,0.03338982026692777,0.0,0.0,0.0032746074660810996,0.0025912859403750543,0.0
4,0.020351050411046925,0.027180628069540396,0.015882383894215774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022498331933557623,0.0,0.0,0.0,0.027597620706094714,0.0,0.0,0.020901843179681866,0.03752597935997014,0.03115209926989268,0.0,0.0,0.014064386028199177,0.030159204434692295,0.0,0.0
5,0.0,0.0,0.017471128002688824,-0.06241707215561213,0.0,0.04834635949266628,0.0,0.04912481186305861,0.0,0.0,0.0,0.0,0.0,0.0,0.013592246774311362,0.007483692207200228,0.0,0.017734787358744588,0.007086787813812112,0.0,0.07593184850056782,0.0,0.0,0.0,0.010794827356377597,0.0,0.0
6,0.0,-0.057322934228757796,0.01399207552485988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016140267670708548,0.0,0.0,-0.022971181712780453,0.011798783116845988,0.16348687008415988,0.053719674095657685,0.0,0.018590235293321707,0.0,0.0,-0.040329415732104704,0.0837350510784879
7,0.0,0.023953905724645272,0.006375507736271713,0.0,0.0,0.03189484784510132,0.0,0.0345936490466512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043101644238896855,0.02164473219927515,0.0,0.04514976090454452,0.011842634318131717,0.0,0.0,0.009988089203345957,0.008369112439090417,0.0
8,0.0232788359211932,0.03906038867265085,0.01566494935164417,-0.056987365546982756,-0.06332779044101176,0.07878139220013643,0.0,0.07935383586502398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04475393353111569,0.02610021513554871,-0.0480545152334071,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,-0.02225956470549055,-0.06427770884843756,0.0,-0.06470978689316985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020490282598360842,-0.01633215436606455,0.0,-0.03576751484684632,0.0,0.08874281016197877,-0.03305658486319665,0.0,0.0,-0.018666106021226852,0.0,-0.035038038973109906
10,0.017019411020426724,0.018944199248662922,0.0,-0.0725495519633779,0.0,0.07429468218810012,0.0,0.07181734680832313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010884483480684206,0.03499074249831565,0.06391506452857498,0.010545525089773964,0.009889733175144327,0.0,0.0,0.0,0.0
11,0.030607961153301343,-0.06505569450545504,0.02863818814721494,-0.022376369412682093,-0.017133030617647135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02069892623481726,-0.062499265847687314,0.0,0.05233463137556621,0.0,0.0,0.0,0.0,0.0,-0.04348025419296362,0.1899438683576655
12,0.0,-0.06700421688459772,0.016465423502995142,-0.017174749392065702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015992361849002237,0.15896958537344277,0.057340907479317395,0.011405018673088275,0.009418309757738793,0.0,0.0,-0.05018037405287156,0.09416466487607113
13,0.0,0.0,0.0,0.11452372887747964,0.09781864904218152,-0.058935150040548126,0.0,-0.05890698298258057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028451618075919782,0.1345584826295884,0.0,0.0,-0.02648755590723978,-0.04886824223741008,0.0,0.04611445506604088,0.0,-0.0301847906465033,0.0,0.0
14,0.0,0.0,-0.07151186462015449,0.0,0.0,-0.033233065392941026,0.0,-0.027637120850949513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04395253402057978,0.0,0.0,-0.08081619587826133,0.0,-0.2260208853984052,-0.03821840671500534,-0.04851252090027773,0.0,-0.032502647038420915,0.0,-0.03149642121355922
15,0.02143797940168142,0.024674226561606602,0.022431619193007266,0.0,0.0,0.04829020924639761,0.0,0.05048719292170251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016589485131682936,0.0,0.0,0.0,0.013410540584497947,0.017909219987367345,0.0,0.01116703920181325,0.0,0.013684236539175516,0.0,0.0
16,0.008219693792588743,0.0059863184672217795,0.01839854066815878,0.0,0.0,0.026185114627838964,0.0,0.0319756434134347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008243586786900165,0.0,0.01482745548559193,0.07929174408626477,0.0,0.014469734352046897,0.0,0.0,0.0,0.010065533766955471
17,0.0,0.01572566058551828,0.016864858773990368,0.0,0.0,0.015339114017867254,0.0,0.01791676148783183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015977510974897968,0.0,0.0,0.03218323576459846,0.045626820167980774,0.04644797074774766,0.02786121033822446,0.0,0.0,0.017448091542291516,0.0,0.0
18,0.0024389976043736328,0.009475381945785406,0.023656724279871793,0.0,0.0,0.038403162428849905,0.0,0.040240716035347866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02109649684598357,0.0,0.02223253021501202,0.0,0.0,0.0,0.0,0.009017655733768134,0.0,0.01897763949071903,0.0,0.005385141519802835
19,0.010812328110321987,0.022162612011596628,0.018927468759210846,0.0,0.0,0.07884783389740829,0.0,0.07339043419476207,0.0,0.0,0.0,0.0,0.0,0.005274258997960216,0.0,0.007393025380159005,0.0,0.00459560612482926,0.0,0.0,0.0,0.0,0.01232989941103101,0.0,0.005591452579189179,0.0,0.0
20,0.013508169791213226,0.013278277986859306,0.0,0.0,0.0,0.04862727196358891,0.0,0.05461480164615746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008218114557839672,0.0,0.0,0.015647130477734632,0.017880536753088663,0.010502036360808091,0.01717014895468636,0.0,0.0,0.0070753237892133,0.0,0.0
